frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
84,2.8,F2,1,1,85.0,241.0,10.2,30.59,844.3,88.06,-101.3,,1.22,8.55,163.0,279.7,85.0
85,2.83,F2,1,1,77.0,239.0,8.25,24.74,852.5,-175.66,-104.0,,-2.73,-3.94,160.3,282.4,77.0
86,2.87,F2,1,1,68.0,236.0,9.49,28.46,862.0,111.66,-108.4,,-4.4,-1.67,155.9,286.8,68.0
87,2.9,F2,1,1,60.0,233.0,8.54,25.63,870.6,-84.85,-110.6,,-2.12,2.28,153.7,288.9,60.0
88,2.93,F2,1,1,53.0,230.0,7.62,22.85,878.2,-83.54,-113.2,,-2.64,-0.52,151.1,291.6,53.0
89,2.97,F2,1,1,47.0,226.0,7.21,21.63,885.4,-36.42,-123.7,,-10.49,-7.85,140.6,302.1,47.0
90,3.0,F2,1,1,41.0,221.0,7.81,23.43,893.2,53.92,-129.8,,-6.12,4.38,134.5,308.2,41.0
91,3.03,F2,1,1,35.0,216.0,7.81,23.43,901.0,0.0,-129.8,,0.0,6.12,134.5,308.2,35.0
92,3.07,F2,1,1,30.0,209.0,8.6,25.81,909.6,71.29,-144.5,,-14.66,-14.66,119.8,322.8,30.0
93,3.1,F2,1,1,24.0,201.0,10.0,30.0,919.6,125.79,-143.1,,1.33,15.99,121.2,324.2,24.0
94,3.13,F2,1,1,18.0,192.0,10.82,32.45,930.4,73.5,-146.3,,-3.18,-4.51,118.0,327.3,18.0
95,3.17,F2,1,1,15.0,183.0,9.49,28.46,939.9,-119.68,-161.6,,-15.26,-12.08,102.7,342.6,15.0
96,3.2,F2,1,1,13.0,173.0,10.2,30.59,950.1,64.01,-168.7,,-7.12,8.13,95.6,349.7,13.0
97,3.23,F2,1,1,12.0,164.0,9.06,27.17,959.2,-102.84,-173.7,,-4.97,2.15,90.6,354.7,12.0
98,3.27,F2,1,1,12.0,154.0,10.0,30.0,969.2,85.02,180.0,,-6.34,-1.37,84.3,361.0,12.0
99,3.3,F2,1,1,12.0,144.0,10.0,30.0,979.2,0.0,180.0,,0.0,6.34,84.3,361.0,12.0
100,3.33,F2,1,1,13.0,134.0,10.05,30.15,989.2,4.49,174.3,,-5.71,-5.71,78.6,366.7,13.0
101,3.37,F2,1,1,14.0,125.0,9.06,27.17,998.3,-89.5,173.7,,-0.63,5.08,77.9,367.4,14.0
102,3.4,F2,1,1,16.0,115.0,10.2,30.59,1008.5,102.84,168.7,,-4.97,-4.34,73.0,372.3,16.0
103,3.43,F2,1,1,20.0,106.0,9.85,29.55,1018.3,-31.43,156.0,,-12.65,-7.68,60.3,385.0,20.0
104,3.47,F2,1,1,26.0,97.0,10.82,32.45,1029.1,87.1,146.3,,-9.73,2.92,50.6,394.7,26.0
105,3.5,F2,1,1,32.0,89.0,10.0,30.0,1039.1,-73.5,143.1,,-3.18,6.55,47.4,397.9,32.0
