frame,id,area,com,icom,consmerged,cx,cy
33,0,1597.0,"(1529, 873)","(1529, 873)",0.0,1529.0,873.0
34,0,1603.0,"(1522, 873)","(1522, 873)",0.0,1522.0,873.0
35,0,1619.0,"(1515, 873)","(1515, 873)",0.0,1515.0,873.0
36,0,1640.0,"(1506, 874)","(1506, 874)",0.0,1506.0,874.0
37,0,1630.0,"(1497, 874)","(1497, 874)",0.0,1497.0,874.0
38,0,1657.0,"(1488, 874)","(1488, 874)",0.0,1488.0,874.0
39,0,1642.0,"(1479, 875)","(1479, 875)",0.0,1479.0,875.0
40,0,1682.0,"(1469, 875)","(1469, 875)",0.0,1469.0,875.0
41,0,1627.0,"(1459, 875)","(1459, 875)",0.0,1459.0,875.0
42,0,1564.0,"(1449, 876)","(1449, 876)",0.0,1449.0,876.0
43,0,1560.0,"(1440, 876)","(1440, 876)",0.0,1440.0,876.0
44,0,1598.0,"(1429, 876)","(1429, 876)",0.0,1429.0,876.0
45,0,1592.0,"(1418, 876)","(1418, 876)",0.0,1418.0,876.0
46,0,1566.0,"(1406, 876)","(1406, 876)",0.0,1406.0,876.0
47,0,1541.0,"(1395, 877)","(1395, 877)",0.0,1395.0,877.0
48,0,1530.0,"(1382, 878)","(1382, 878)",0.0,1382.0,878.0
49,0,1554.0,"(1370, 878)","(1370, 878)",0.0,1370.0,878.0
50,0,1543.0,"(1360, 878)","(1360, 878)",0.0,1360.0,878.0
51,0,1505.0,"(1347, 878)","(1347, 878)",0.0,1347.0,878.0
52,0,1534.0,"(1332, 878)","(1332, 878)",0.0,1332.0,878.0
53,0,1524.0,"(1320, 878)","(1320, 878)",0.0,1320.0,878.0
54,0,1576.0,"(1307, 878)","(1307, 878)",0.0,1307.0,878.0
55,0,1610.0,"(1294, 878)","(1294, 878)",0.0,1294.0,878.0
56,0,1659.0,"(1281, 879)","(1281, 879)",0.0,1281.0,879.0
57,0,1662.0,"(1269, 879)","(1269, 879)",0.0,1269.0,879.0
58,0,1659.0,"(1254, 879)","(1254, 879)",0.0,1254.0,879.0
59,0,1614.0,"(1240, 879)","(1240, 879)",0.0,1240.0,879.0
60,0,1549.0,"(1224, 879)","(1224, 879)",0.0,1224.0,879.0
61,0,1600.0,"(1210, 880)","(1210, 880)",0.0,1210.0,880.0
62,0,1702.0,"(1194, 880)","(1194, 880)",0.0,1194.0,880.0
63,0,1616.0,"(1180, 881)","(1180, 881)",0.0,1180.0,881.0
64,0,1632.0,"(1164, 881)","(1164, 881)",0.0,1164.0,881.0
65,0,1604.0,"(1148, 881)","(1148, 881)",0.0,1148.0,881.0
66,0,1544.0,"(1134, 881)","(1134, 881)",0.0,1134.0,881.0
67,0,1534.0,"(1117, 880)","(1117, 880)",0.0,1117.0,880.0
68,0,1502.0,"(1101, 880)","(1101, 880)",0.0,1101.0,880.0
69,0,1566.0,"(1083, 880)","(1083, 880)",0.0,980.0,990.0
70,0,1528.0,"(1066, 880)","(1066, 880)",0.0,936.0,988.0
71,0,1509.0,"(1050, 881)","(1050, 881)",0.0,872.0,1000.0
