frame,id,area,com,icom,consmerged
235,0,783,"(260, 41)","(260, 41)",0
236,0,781,"(252, 40)","(252, 40)",0
237,0,779,"(245, 41)","(245, 41)",0
238,0,785,"(237, 41)","(237, 41)",0
239,0,785,"(230, 42)","(230, 42)",0
240,0,780,"(223, 43)","(223, 43)",0
241,0,778,"(216, 45)","(216, 45)",0
242,0,785,"(208, 47)","(208, 47)",0
243,0,778,"(201, 49)","(201, 49)",0
244,0,786,"(194, 51)","(194, 51)",0
245,0,781,"(187, 54)","(187, 54)",0
246,0,781,"(180, 56)","(180, 56)",0
247,0,780,"(174, 60)","(174, 60)",0
248,0,787,"(167, 63)","(167, 63)",0
249,0,779,"(160, 66)","(160, 66)",0
250,0,775,"(154, 70)","(154, 70)",0
251,0,780,"(148, 74)","(148, 74)",0
252,0,784,"(142, 78)","(142, 78)",0
253,0,778,"(136, 83)","(136, 83)",0
254,0,782,"(130, 88)","(130, 88)",0
255,0,781,"(124, 92)","(124, 92)",0
256,0,778,"(118, 98)","(118, 98)",0
257,0,778,"(113, 103)","(113, 103)",0
258,0,782,"(107, 108)","(107, 108)",0
259,0,778,"(102, 114)","(102, 114)",0
260,0,779,"(97, 120)","(97, 120)",0
261,0,781,"(93, 125)","(93, 125)",0
262,0,777,"(88, 131)","(88, 131)",0
263,0,780,"(84, 138)","(84, 138)",0
264,0,781,"(80, 144)","(80, 144)",0
265,0,783,"(76, 150)","(76, 150)",0
266,0,778,"(72, 156)","(72, 156)",0
267,0,777,"(69, 163)","(69, 163)",0
268,0,780,"(65, 170)","(65, 170)",0
269,0,781,"(62, 176)","(62, 176)",0
270,0,783,"(60, 183)","(60, 183)",0
271,0,774,"(57, 190)","(57, 190)",0
272,0,782,"(55, 197)","(55, 197)",0
273,0,777,"(52, 204)","(52, 204)",0
274,0,780,"(51, 211)","(51, 211)",0
275,0,780,"(49, 219)","(49, 219)",0
276,0,780,"(47, 226)","(47, 226)",0
277,0,783,"(46, 233)","(46, 233)",0
278,0,780,"(45, 240)","(45, 240)",0
279,0,779,"(45, 248)","(45, 248)",0
280,0,780,"(44, 255)","(44, 255)",0
281,0,774,"(44, 263)","(44, 263)",0
282,0,782,"(44, 270)","(44, 270)",0
283,0,780,"(44, 277)","(44, 277)",0
284,0,785,"(45, 285)","(45, 285)",0
285,0,777,"(46, 293)","(46, 293)",0
286,0,787,"(47, 300)","(47, 300)",0
287,0,779,"(48, 308)","(48, 308)",0
288,0,783,"(50, 315)","(50, 315)",0
289,0,777,"(52, 322)","(52, 322)",0
290,0,786,"(54, 330)","(54, 330)",0
291,0,779,"(57, 337)","(57, 337)",0
292,0,781,"(59, 345)","(59, 345)",0
293,0,778,"(62, 352)","(62, 352)",0
294,0,783,"(66, 359)","(66, 359)",0
295,0,779,"(69, 367)","(69, 367)",0
296,0,780,"(73, 374)","(73, 374)",0
297,0,775,"(77, 381)","(77, 381)",0
298,0,781,"(82, 388)","(82, 388)",0
299,0,775,"(87, 395)","(87, 395)",0
300,0,788,"(92, 402)","(92, 402)",0
