frame,id,area,com,icom,consmerged
34,5,222,"(999, 757)","(999, 757)",0
35,0,331,"(963, 519)","(963, 519)",0
35,1,323,"(1044, 698)","(1044, 698)",0
35,2,284,"(845, 872)","(845, 872)",0
35,3,267,"(866, 675)","(866, 675)",0
35,4,228,"(938, 695)","(938, 695)",0
35,5,223,"(1004, 755)","(1004, 755)",0
36,0,330,"(963, 515)","(963, 515)",0
36,1,316,"(1049, 699)","(1049, 699)",0
36,2,284,"(852, 873)","(852, 873)",0
36,3,261,"(868, 672)","(868, 672)",0
36,4,229,"(943, 695)","(943, 695)",0
36,5,222,"(1008, 752)","(1008, 752)",0
37,0,334,"(963, 512)","(963, 512)",0
37,1,323,"(1054, 700)","(1054, 700)",0
37,2,286,"(858, 874)","(858, 874)",0
37,3,263,"(870, 668)","(870, 668)",0
37,4,226,"(947, 696)","(947, 696)",0
37,5,223,"(1013, 749)","(1013, 749)",0
38,0,335,"(963, 508)","(963, 508)",0
38,1,321,"(1059, 701)","(1059, 701)",0
38,2,283,"(865, 875)","(865, 875)",0
38,3,265,"(871, 665)","(871, 665)",0
38,4,226,"(952, 696)","(952, 696)",0
38,5,222,"(1017, 746)","(1017, 746)",0
39,0,330,"(962, 504)","(962, 504)",0
39,1,323,"(1064, 702)","(1064, 702)",0
39,2,281,"(872, 875)","(872, 875)",0
39,3,263,"(873, 662)","(873, 662)",0
39,4,228,"(956, 697)","(956, 697)",0
39,5,227,"(1021, 743)","(1021, 743)",0
40,0,335,"(962, 501)","(962, 501)",0
40,1,322,"(1069, 703)","(1069, 703)",0
40,2,281,"(879, 875)","(879, 875)",0
40,3,265,"(874, 658)","(874, 658)",0
40,4,228,"(961, 697)","(961, 697)",0
40,5,224,"(1025, 740)","(1025, 740)",0
41,0,327,"(961, 497)","(961, 497)",0
41,1,320,"(1075, 704)","(1075, 704)",0
41,2,283,"(886, 875)","(886, 875)",0
41,3,264,"(875, 655)","(875, 655)",0
41,4,231,"(965, 698)","(965, 698)",0
41,5,224,"(1029, 737)","(1029, 737)",0
42,0,333,"(959, 494)","(959, 494)",0
42,1,316,"(1080, 704)","(1080, 704)",0
42,2,283,"(893, 875)","(893, 875)",0
42,3,265,"(876, 652)","(876, 652)",0
42,4,229,"(970, 698)","(970, 698)",0
42,5,220,"(1032, 733)","(1032, 733)",0
43,0,335,"(958, 491)","(958, 491)",0
43,1,323,"(1085, 705)","(1085, 705)",0
43,2,282,"(900, 875)","(900, 875)",0
43,3,267,"(876, 649)","(876, 649)",0
43,4,226,"(974, 698)","(974, 698)",0
43,5,223,"(1036, 729)","(1036, 729)",0
44,0,333,"(956, 487)","(956, 487)",0
44,1,323,"(1090, 705)","(1090, 705)",0
44,2,284,"(907, 874)","(907, 874)",0
44,3,260,"(876, 646)","(876, 646)",0
44,4,227,"(979, 698)","(979, 698)",0
44,5,223,"(1039, 726)","(1039, 726)",0
45,0,335,"(954, 484)","(954, 484)",0
45,1,321,"(1095, 706)","(1095, 706)",0
45,2,287,"(914, 873)","(914, 873)",0
45,3,263,"(876, 643)","(876, 643)",0
45,5,228,"(1042, 722)","(1042, 722)",0
45,4,227,"(984, 699)","(984, 699)",0
46,0,335,"(952, 481)","(952, 481)",0
46,1,319,"(1100, 706)","(1100, 706)",0
46,2,283,"(921, 872)","(921, 872)",0
46,3,261,"(876, 640)","(876, 640)",0
46,4,229,"(988, 699)","(988, 699)",0
46,5,225,"(1045, 718)","(1045, 718)",0
47,0,334,"(950, 478)","(950, 478)",0
47,1,320,"(1106, 707)","(1106, 707)",0
47,2,283,"(928, 871)","(928, 871)",0
47,3,262,"(876, 638)","(876, 638)",0
47,4,230,"(993, 699)","(993, 699)",0
47,5,220,"(1048, 714)","(1048, 714)",0
48,0,332,"(947, 475)","(947, 475)",0
48,1,320,"(1111, 707)","(1111, 707)",0
48,2,285,"(935, 869)","(935, 869)",0
48,3,266,"(875, 635)","(875, 635)",0
48,4,228,"(997, 699)","(997, 699)",0
48,5,227,"(1050, 710)","(1050, 710)",0
49,0,332,"(945, 472)","(945, 472)",0
49,1,320,"(1116, 707)","(1116, 707)",0
49,2,283,"(942, 867)","(942, 867)",0
49,3,264,"(874, 632)","(874, 632)",0
49,4,229,"(1002, 699)","(1002, 699)",0
49,5,224,"(1052, 706)","(1052, 706)",0
50,0,331,"(942, 470)","(942, 470)",0
50,1,320,"(1121, 707)","(1121, 707)",0
50,2,282,"(949, 865)","(949, 865)",0
50,3,267,"(873, 630)","(873, 630)",0
50,4,225,"(1007, 699)","(1007, 699)",0
50,5,221,"(1055, 701)","(1055, 701)",0
51,0,333,"(939, 468)","(939, 468)",0
51,1,319,"(1125, 706)","(1125, 706)",0
51,2,288,"(956, 863)","(956, 863)",0
51,3,263,"(872, 628)","(872, 628)",0
51,4,227,"(1011, 699)","(1011, 699)",0
51,5,222,"(1057, 697)","(1057, 697)",0
52,0,334,"(937, 466)","(937, 466)",0
52,1,322,"(1130, 706)","(1130, 706)",0
52,2,282,"(963, 861)","(963, 861)",0
52,3,262,"(870, 626)","(870, 626)",0
52,4,229,"(1016, 699)","(1016, 699)",0
52,5,222,"(1058, 693)","(1058, 693)",0
53,0,332,"(934, 464)","(934, 464)",0
53,1,322,"(1135, 705)","(1135, 705)",0
53,2,288,"(969, 858)","(969, 858)",0
53,3,263,"(868, 624)","(868, 624)",0
53,4,229,"(1021, 699)","(1021, 699)",0
53,5,223,"(1060, 688)","(1060, 688)",0
54,0,331,"(931, 462)","(931, 462)",0
54,1,319,"(1140, 704)","(1140, 704)",0
54,2,282,"(976, 855)","(976, 855)",0
